,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2837,17-03-2009,160.00,161.13,157.19,158.20,1248824,3.94,1.80
2838,16-03-2009,163.14,163.14,158.63,161.04,1432104,4.51,2.10
2839,13-03-2009,155.25,162.50,155.25,162.05,2516800,7.25,-6.80
2840,12-03-2009,151.88,156.72,151.88,153.40,2014944,4.84,-1.52
2841,09-03-2009,152.00,152.44,148.88,149.60,1541056,3.56,2.40
2842,06-03-2009,146.25,154.75,146.00,152.40,2209336,8.75,-6.15
2843,05-03-2009,151.69,151.69,147.02,147.85,774576,4.67,3.84
2844,04-03-2009,150.19,151.94,147.64,149.74,2009336,4.30,0.45
2845,03-03-2009,151.87,151.87,148.80,149.70,1216960,3.07,2.17
2846,02-03-2009,151.42,153.63,148.75,152.35,1438592,4.88,-0.93
2847,27-02-2009,154.50,154.97,150.30,153.92,949336,4.67,0.58
2848,26-02-2009,152.00,155.00,150.07,154.55,1548424,4.93,-2.55
2849,24-02-2009,145.00,148.89,143.30,148.02,983008,5.59,-3.02
2850,20-02-2009,150.00,150.50,145.43,147.31,1415712,5.07,2.69
2851,19-02-2009,148.13,151.63,146.50,151.03,1760624,5.13,-2.90
2852,18-02-2009,146.25,148.69,145.13,147.35,3352152,3.56,-1.10
2853,17-02-2009,150.13,152.24,146.10,147.21,1966496,6.14,2.92
2854,16-02-2009,156.88,157.58,151.89,152.70,2058872,5.69,4.18
2855,13-02-2009,157.63,159.38,155.78,156.84,1162000,3.60,0.79
2856,12-02-2009,158.88,162.49,156.50,157.30,1749800,5.99,1.58
